DATE,RBUSBIS
1994-01-01,105.19
1994-02-01,104.65
1994-03-01,104.79
1994-04-01,104.69
1994-05-01,103.79
1994-06-01,103.42
1994-07-01,102.0
1994-08-01,101.75
1994-09-01,100.6
1994-10-01,99.77
1994-11-01,100.0
1994-12-01,102.21
1995-01-01,104.48
1995-02-01,103.56
1995-03-01,102.11
1995-04-01,98.06
1995-05-01,97.54
1995-06-01,97.6
1995-07-01,97.56
1995-08-01,100.0
1995-09-01,101.17
1995-10-01,101.17
1995-11-01,102.3
1995-12-01,102.51
1996-01-01,103.02
1996-02-01,103.0
1996-03-01,103.06
1996-04-01,102.87
1996-05-01,103.01
1996-06-01,103.37
1996-07-01,103.43
1996-08-01,102.69
1996-09-01,103.07
1996-10-01,103.71
1996-11-01,103.23
1996-12-01,103.84
1997-01-01,104.72
1997-02-01,106.49
1997-03-01,107.49
1997-04-01,107.74
1997-05-01,106.19
1997-06-01,105.82
1997-07-01,106.95
1997-08-01,108.76
1997-09-01,108.93
1997-10-01,109.49
1997-11-01,111.3
1997-12-01,114.81
1998-01-01,117.66
1998-02-01,115.88
1998-03-01,115.39
1998-04-01,115.18
1998-05-01,116.02
1998-06-01,118.57
1998-07-01,119.08
1998-08-01,121.17
1998-09-01,119.1
1998-10-01,115.56
1998-11-01,115.18
1998-12-01,114.11
1999-01-01,114.17
1999-02-01,115.38
1999-03-01,116.82
1999-04-01,116.44
1999-05-01,116.15
1999-06-01,116.81
1999-07-01,117.18
1999-08-01,115.86
1999-09-01,115.1
1999-10-01,114.63
1999-11-01,114.87
1999-12-01,114.75
2000-01-01,114.54
2000-02-01,116.19
2000-03-01,116.9
2000-04-01,117.45
2000-05-01,120.23
2000-06-01,119.29
2000-07-01,119.53
2000-08-01,120.17
2000-09-01,121.4
2000-10-01,123.27
2000-11-01,123.88
2000-12-01,122.54
2001-01-01,123.08
2001-02-01,124.08
2001-03-01,126.12
2001-04-01,127.03
2001-05-01,126.85
2001-06-01,127.8
2001-07-01,128.17
2001-08-01,125.95
2001-09-01,126.48
2001-10-01,126.82
2001-11-01,127.43
2001-12-01,126.92
2002-01-01,128.23
2002-02-01,129.03
2002-03-01,128.73
2002-04-01,128.44
2002-05-01,126.64
2002-06-01,125.19
2002-07-01,123.51
2002-08-01,124.97
2002-09-01,125.57
2002-10-01,126.47
2002-11-01,124.86
2002-12-01,123.76
2003-01-01,122.13
2003-02-01,122.52
2003-03-01,122.36
2003-04-01,121.15
2003-05-01,116.83
2003-06-01,116.82
2003-07-01,118.09
2003-08-01,119.7
2003-09-01,118.38
2003-10-01,115.67
2003-11-01,114.83
2003-12-01,112.86
2004-01-01,111.25
2004-02-01,112.04
2004-03-01,113.53
2004-04-01,114.35
2004-05-01,116.6
2004-06-01,115.81
2004-07-01,114.72
2004-08-01,114.8
2004-09-01,114.14
2004-10-01,112.77
2004-11-01,109.64
2004-12-01,107.86
2005-01-01,108.68
2005-02-01,108.89
2005-03-01,108.79
2005-04-01,110.29
2005-05-01,110.58
2005-06-01,111.89
2005-07-01,112.62
2005-08-01,111.46
2005-09-01,112.13
2005-10-01,113.43
2005-11-01,113.38
2005-12-01,111.98
2006-01-01,110.94
2006-02-01,111.11
2006-03-01,111.8
2006-04-01,111.47
2006-05-01,109.49
2006-06-01,111.22
2006-07-01,111.18
2006-08-01,110.37
2006-09-01,109.91
2006-10-01,109.68
2006-11-01,108.35
2006-12-01,107.08
2007-01-01,108.51
2007-02-01,108.24
2007-03-01,108.35
2007-04-01,107.24
2007-05-01,106.79
2007-06-01,106.66
2007-07-01,105.02
2007-08-01,104.98
2007-09-01,103.47
2007-10-01,101.22
2007-11-01,99.71
2007-12-01,100.17
2008-01-01,99.55
2008-02-01,98.19
2008-03-01,96.69
2008-04-01,96.41
2008-05-01,97.15
2008-06-01,97.78
2008-07-01,97.2
2008-08-01,99.15
2008-09-01,101.24
2008-10-01,106.95
2008-11-01,108.05
2008-12-01,106.25
2009-01-01,107.34
2009-02-01,110.25
2009-03-01,110.89
2009-04-01,108.28
2009-05-01,105.24
2009-06-01,104.83
2009-07-01,104.38
2009-08-01,102.93
2009-09-01,102.02
2009-10-01,100.56
2009-11-01,99.87
2009-12-01,99.8
2010-01-01,100.11
2010-02-01,101.03
2010-03-01,100.47
2010-04-01,99.91
2010-05-01,102.91
2010-06-01,103.64
2010-07-01,101.85
2010-08-01,100.8
2010-09-01,99.6
2010-10-01,96.41
2010-11-01,96.35
2010-12-01,96.93
2011-01-01,95.98
2011-02-01,95.2
2011-03-01,94.77
2011-04-01,93.53
2011-05-01,93.72
2011-06-01,93.69
2011-07-01,93.06
2011-08-01,93.56
2011-09-01,96.07
2011-10-01,96.65
2011-11-01,97.04
2011-12-01,97.4
2012-01-01,97.07
2012-02-01,95.5
2012-03-01,96.36
2012-04-01,96.75
2012-05-01,98.48
2012-06-01,99.88
2012-07-01,99.22
2012-08-01,98.53
2012-09-01,97.04
2012-10-01,96.47
2012-11-01,96.66
2012-12-01,95.5
2013-01-01,95.73
2013-02-01,96.54
2013-03-01,97.59
2013-04-01,97.02
2013-05-01,97.72
2013-06-01,98.54
2013-07-01,99.08
2013-08-01,98.77
2013-09-01,98.3
2013-10-01,96.92
2013-11-01,97.4
2013-12-01,97.35
2014-01-01,98.42
2014-02-01,98.51
2014-03-01,98.86
2014-04-01,98.67
2014-05-01,98.58
2014-06-01,98.92
2014-07-01,98.64
2014-08-01,99.2
2014-09-01,100.39
2014-10-01,101.31
2014-11-01,102.43
2014-12-01,104.11
2015-01-01,106.11
2015-02-01,107.41
2015-03-01,109.64
2015-04-01,109.04
2015-05-01,108.56
2015-06-01,109.6
2015-07-01,111.35
2015-08-01,112.91
2015-09-01,113.34
2015-10-01,112.25
2015-11-01,113.81
2015-12-01,114.37
2016-01-01,117.12
2016-02-01,115.48
2016-03-01,113.55
2016-04-01,112.09
2016-05-01,113.66
2016-06-01,114.39
2016-07-01,114.89
2016-08-01,113.86
2016-09-01,114.6
2016-10-01,115.52
2016-11-01,118.21
2016-12-01,120.0
2017-01-01,120.19
2017-02-01,118.41
2017-03-01,117.8
2017-04-01,116.95
2017-05-01,116.5
2017-06-01,114.98
2017-07-01,113.34
2017-08-01,111.94
2017-09-01,111.09
2017-10-01,112.81
2017-11-01,112.8
2017-12-01,112.05
2018-01-01,110.04
2018-02-01,108.84
2018-03-01,109.44
2018-04-01,109.73
2018-05-01,113.11
2018-06-01,115.02
2018-07-01,115.36
2018-08-01,115.91
2018-09-01,115.91
2018-10-01,116.54
2018-11-01,117.58
2018-12-01,117.02
2019-01-01,115.63
2019-02-01,115.27
2019-03-01,115.97
2019-04-01,116.38
2019-05-01,117.69
2019-06-01,117.26
2019-07-01,116.8
2019-08-01,118.71
2019-09-01,118.86
2019-10-01,118.05
2019-11-01,117.47
